"nr","naam","definitie","uml-type","ggm-guid","bron","domein-iv3","archimate-type","toelichting","gemma-guid","synoniemen","domein-dcat","domein-gemma","datum-tijd-export"
"1","Aanbesteding (Inkoop)","Kan een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding ","Class","{44EC6082-2682-43c7-A52E-0AD05B06A046}","https://data.crow.nl/thesaurus/term/A329D70E-12C3-47AB-8F12-7F3DBAFBA9CE","Inkoop","Business object","","id-44ec6082-2682-43c7-a52e-0ad05b06a046","","","","28062023-11:06:06"
"2","Aanbesteding (Vastgoed)","Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen.","Class","{17FCEF39-AB9D-4516-9C60-1DDA61D87356}","","Vastgoed","Data object","","id-17fcef39-ab9d-4516-9c60-1dda61d87356","","","","28062023-11:06:06"
"3","Aanbesteding Inhuur","Aanbesteding voor inhuur van personen of diensten","Class","{01D90490-C76A-444a-BFCE-355AFC5FB012}","","Inkoop","Business object","","id-01d90490-c76a-444a-bfce-355afc5fb012","","","","28062023-11:06:06"
"4","Aanbestedingsoort","","Enumeration","{B8B79BCE-8F87-46f7-BB15-288266799E56}","","Inkoop","Data object","","id-b8b79bce-8f87-46f7-bb15-288266799e56","","","","28062023-11:06:06"
"5","AANDUIDING VERBLIJFSRECHT","Aanduiding in verband met het verblijfsrecht van de vreemdeling.","Class","{EBE4A0C9-9281-4750-8E70-AF70A549CD6B}","https://www.gemmaonline.nl/index.php/Informatiemodel_Basis-_en_Kerngegevens_(RSGB)","Referentielijsten","Business object","","id-ebe4a0c9-9281-4750-8e70-af70a549cd6b","","","","28062023-11:06:06"
"6","aanduidingEigenaarGebruiker","Een aanduiding van alle waarden waarmee soort belang van een eigenaar / gebruiker wordt aangeduid. ","Enumeration","{E5990F7B-3BD5-4e8f-9595-1F50FD952BD5}","","Enumeratiesoort","Data object","","id-e5990f7b-3bd5-4e8f-9595-1f50fd952bd5","","","","28062023-11:06:06"
"7","aanduidingInhoudingVermissingReisdocument","De mogelijke waarden van de aanduiding van inhouding of vermissing van een Nederlands reisdocument. 
Zie logisch ontwerp BRP bij de stamtabellen
","Enumeration","{9B477DCC-620F-4128-A65D-0CD045BCE16B}","","Enumeratiesoort","Data object","","id-9b477dcc-620f-4128-a65d-0cd045bce16b","","","","28062023-11:06:06"
"8","aangever","De aangever adreshouding mag alleen een binnen de centrale voorzieningen voorgedefinieerde waarde hebben. Zie logisch ontwerp BRP bij de stamtabellen","Enumeration","{9FB86122-42DC-4375-ABF7-018B98BD3A3F}","","Enumeratiesoort","Data object","","id-9fb86122-42dc-4375-abf7-018b98bd3a3f","","","","28062023-11:06:06"
"9","Aankondiging","Aankondiging van een Nationale of Europese aanbesteding","Class","{BB135B0E-A2C2-4681-BD91-30863F8B3D70}","","Inkoop","Business object","","id-bb135b0e-a2c2-4681-bd91-30863f8b3d70","Kennisgeving, Bekendmaking","","","28062023-11:06:06"
"10","Aansluitput","Type put met de functie aansluitleidingen aansluiten","Class","{401EC4C0-809B-48F0-9646-0F646A8F1AE}","","Ruimte","Business object","","id-401ec4c0-809b-48f0-9646-0f646a8f1ae","","","","28062023-11:06:06"
