"nr","naam","uml-type","ggm-guid","ggm-source-guid","ggm-target-guid","toelichting","archimate-type","gemma-guid","gemma-source-guid","gemma-target-guid","datum-tijd-export"
"1","","","","","","","AggregationRelationship","id-90de881c-0703-9505-6c39-776c3482355d","id-6171f956-8973-4ae9-9a47-32857bcd5e6e","id-096e692b-4810-4571-9a51-dddeda13f4bf","28062023-11:06:06"
"2","","","","","","","AggregationRelationship","id-56653f1888b74c0ba02c00ca60890dfc","id-cc2546122f0c4c1387a16e13ad50f892","id-0dcee6c7-87bc-498c-a02a-25271db1bc9","28062023-11:06:06"
"3","","","","","","","AggregationRelationship","id-54511db1-95f6-8521-2301-a2966bfb8a94","id-9f759de1-cc84-4421-a38d-e337a571ea5a","id-bf7bab5f-7025-4792-8288-47f5b1c53e95","28062023-11:06:06"
"4","","","","","","","AggregationRelationship","id-ddb6aec36616472f91f7a46a9639dff7","id-0da3a0040fab4e2f85e376e8b3e44127","id-aa496b7b-913c-40fd-943e-52f1a6e89440","28062023-11:06:06"
"5","","","","","","","AggregationRelationship","id-dc39d8593e3a4ad58d9de91b211b7f19","id-565e702c074d4ef9a2f00b3ab085d8e6","id-f4978264-32a5-4e70-97a8-d142b64400a8","28062023-11:06:06"
"6","","","","","","","AggregationRelationship","id-337a92f886fb4a82b07d6d20651ad475","id-403ebf79912e4f11b99418172cdb83df","id-e8c75dab-f9ae-4fe2-9114-870434f2ea80","28062023-11:06:06"
"7","","","","","","","AggregationRelationship","id-6359e4a47e114e1f8bac04b060e24f8f","id-0952cf9e44bc4eec8f1b491bc96952bc","id-14d3c960-5ef2-433c-8e1c-b493974280e2","28062023-11:06:06"
"8","","","","","","","AggregationRelationship","id-9120efc40a694c099ca532bc3ea100dd","id-901fb6a0797e4eb29b41918ff56f8515","id-5e9dafbb-c9b5-4706-a43d-07ad4979ded4","28062023-11:06:06"
"9","","","","","","","AggregationRelationship","id-4181380c-6724-2704-1bbe-5ba72289599e","id-a51da4f9-2967-42f4-849c-d19c40a3833c","id-66e2b5ba-44a0-4fde-ae33-e211ee4832c2","28062023-11:06:06"
"10","","","","","","","AggregationRelationship","id-176f9e37-5b57-6d72-3bd5-29abd88427e9","id-2a7defc2-ecca-4f63-9eac-522387797505","id-9775e778-dbf8-4122-94ce-551466b62f46","28062023-11:06:06"
