id,clazz_id,descr,enumeration_id,name,name_oud,primitive,type_class_id
EAID_B4F60A84_AFBB_4554_9887_DF1020E99DB8,EAID_3BF6985C_06AB_4cfc_9A0E_5CC37C224245,,,contactsoort,contactsoort,,
EAID_DC8B5E9A_144A_4c78_ACAB_908E8DC2C757,EAID_3BF6985C_06AB_4cfc_9A0E_5CC37C224245,,,datum,datum,,
EAID_B8A47DC2_CE92_4e1b_949B_BC2212AC341C,EAID_3BF6985C_06AB_4cfc_9A0E_5CC37C224245,,,tekst,tekst,,
EAID_dst36212C_BD57_42b6_B51D_E49EA2853F66,EAID_3BF6985C_06AB_4cfc_9A0E_5CC37C224245,,,,,,
EAID_dst4AC804_79E6_40a6_992F_C50B4F045C90,EAID_3BF6985C_06AB_4cfc_9A0E_5CC37C224245,,,,,,
EAID_810C5EBE_A676_451d_ABFE_4045A930862E,EAID_5805FA72_C0CE_43c1_A53F_B81166AEFDD4,,,aantalKamers,aantal kamers,,
EAID_dst70B853_AEE4_4a58_A791_9FE8BE675DD6,EAID_5805FA72_C0CE_43c1_A53F_B81166AEFDD4,,,,,,
EAID_5A617259_60CC_4e9b_9B55_EBC9FFBE34C9,EAID_669000E9_25D6_4346_B718_516CDB8B88B7,,,datumEinde,einddatum,,
EAID_D9E3E9D5_CE8A_4ec4_B8A3_E567F370D454,EAID_669000E9_25D6_4346_B718_516CDB8B88B7,,,datumStart,startdatum,,
EAID_4F9486A6_41D9_4011_A358_53B447DD304B,EAID_8F05E7BA_E7ED_45d1_9626_C8D7FBDB2F1B,,,winkelformule,winkelformule,,
EAID_6D9C4A3C_FCB6_4b8f_8CBC_3C141AD4F571,EAID_EB35F5B8_9289_49cc_8DF4_8BD20EC662A9,,,aantalFulltimeVrouwen,aantalFulletimeVrouwen,,
EAID_D7FF690E_3509_415f_BAEF_B3141A20CB92,EAID_EB35F5B8_9289_49cc_8DF4_8BD20EC662A9,,,aantalFulltimeMannen,aantalFulltimeMannen,,
EAID_48A255E5_CF5A_40bc_936E_A96DBF1266D0,EAID_EB35F5B8_9289_49cc_8DF4_8BD20EC662A9,,,aantalParttimeMannen,aantalParttimeMannen,,
EAID_C035C656_E2CE_423f_821D_D7F6E2E4CA71,EAID_EB35F5B8_9289_49cc_8DF4_8BD20EC662A9,,,aantalParttimeVrouwen,aantalParttimeVrouwen,,
EAID_2AA34004_2EBD_44b8_8383_C457450ADC86,EAID_EB35F5B8_9289_49cc_8DF4_8BD20EC662A9,,,grootteklasse,grootteklasse,,
EAID_6D46BF59_CC63_45d3_B0FD_608210A8549F,EAID_0EABA880_434F_41c3_A41D_0002222AAC2A,,,aantalKassa,aantalkassa,,
EAID_B6020A1D_D30D_4ecd_9177_F7FC02A3319A,EAID_0EABA880_434F_41c3_A41D_0002222AAC2A,,,bronWVO,BronWVO,,
EAID_BB60F746_61E6_4035_AB43_0834BEFC7394,EAID_0EABA880_434F_41c3_A41D_0002222AAC2A,,,leegstand,leegstand,,
EAID_208E3D92_62AC_4a4d_8A44_186CB5F2D6A7,EAID_0EABA880_434F_41c3_A41D_0002222AAC2A,,,winkelvloeroppervlakte,winkelvloeroppervlak,,
EAID_4B121F93_024D_42ba_90E9_52731F3A58E4,EAID_0EABA880_434F_41c3_A41D_0002222AAC2A,,,WVOKlasse,Wvoklasse,,
EAID_8E91C8DE_D513_4907_9180_A44CEED1B1DA,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,,aanvangAanwezigheid,aanvangAanwezigheid,,
EAID_A5E50423_238E_466b_BE99_907CEBEFC748,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,,eindeAanwezigheid,eindeaanwezigheid,,
EAID_085F1605_6837_440f_AA02_0875ADA2C3A0,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,,naam,naam,,
EAID_87E80E09_D1E1_405a_B523_7B0325C6036C,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,,rol,rol,,
EAID_7320C8AA_C6D0_4002_AA34_83215D0387AA,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,,vertegenwoordigtOrganisatie,vertegenwoordigtOrganisatie,,
