nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-type,datum-tijd-export,GGM-toelichting
0,AanwezigeDeelnemer,iemand die meedoet aan eencollege- of raadsvergadering,Class,,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},,,,,Aanwezige Deelnemer,iemand die meedoet aan eencollege- of raadsvergadering,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ccf78bc5-8d4a-440f-a642-abcf60149628,,ccf78bc5-8d4a-440f-a642-abcf60149628,business-object,17042024-14:45:57,
1,Agendapunt,Een onderwerp dat in de vergadering wordt behandeld.,Class,,{73FB5212-40ED-40dc-B837-36588840445A},,,,,Agendapunt,Een onderwerp dat in de vergadering wordt behandeld.,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,,34b2e5f9-63ab-42e8-bfa9-85e12ff6e417,business-object,17042024-14:45:57,
2,Categorie,Categorie waarop leveranciers zich voor de levering van personeel voor kunnen kwalificeren,Class,,{B9B82B25-5D7F-4d2b-84F9-4DF74525EEAD},,,,,,,,,,,,,,17042024-14:45:57,
3,Collegelid,Iemand die behoort het college van burgemeester en wethouders,Class,,{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},,,,,Collegelid,Iemand die behoort het college van burgemeester en wethouders,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,,d0eb8d8b-25c9-4eef-9dc6-4a773d8899a7,business-object,17042024-14:45:57,
4,Raadscommissie,Een raadscommissie binnen de Nederlandse gemeenteraad is een groep raadsleden die zich buigt over specifieke thema's of beleidsonderwerpen om de besluitvorming in de volledige raad voor te bereiden en te ondersteunen.,Class,,{CB27D699-F82B-45ad-823A-B2B51BCAECBA},,,,,Commissie,"Een groep mensen die is samengesteld om een specifieke taak, opdracht of onderzoek uit te voeren",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-62126697-6498-4c0a-a84e-2275138c2eaa,,62126697-6498-4c0a-a84e-2275138c2eaa,business-object,17042024-14:45:57,
5,Dossier,Samenhangende set gegevens en informatie voor een specifiek doel,Class,,{475E24C9-CC9A-49cc-AB80-8CA0221441E5},,,,,Dossier,Samenhangende set gegevens en informatie voor een specifiek doel,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-1364056c-dc25-4855-a75f-eb523f012b02,,1364056c-dc25-4855-a75f-eb523f012b02,business-object,17042024-14:45:57,
6,Indiener,Persoon die meldiing of aanvraag doet,Class,,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},,,,,Indiener,Persoon die meldiing of aanvraag doet,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-6e591734-ef9a-4858-bca1-f924c1aef7b0,Indiener (Griffie),6e591734-ef9a-4858-bca1-f924c1aef7b0,business-object,17042024-14:45:57,
7,Programma,"Een tijdelijke, flexibele organisatiestructuur, die is opgezet om de implementatie van een verzameling met elkaar samenhangende projecten en activiteiten te coördineren, te sturen en te controleren teneinde te zorgen voor de realisatie van de eindresultaten en benefits die zijn gerelateerd aan de strategische doelstellingen van de organisatie.",Class,,{CA56A59A-F855-4c19-89BE-578B12481EA0},,,,,,,,,,,,,,17042024-14:45:57,
8,Raadslid,Iemand die behoort de gemeenteraad,Class,,{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},,,,,Raadslid,Iemand die behoort de gemeenteraad,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-db373678-134a-4333-9d49-e86faf5ce531,,db373678-134a-4333-9d49-e86faf5ce531,business-object,17042024-14:45:57,
9,Raadsstuk,Stuk dat door de gemeenteraad wordt behandeld,Class,,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,,,,Raadsstuk,Stuk dat door de gemeenteraad wordt behandeld,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-378dab8d-1135-40b8-9ed5-3591a89c75c2,,378dab8d-1135-40b8-9ed5-3591a89c75c2,business-object,17042024-14:45:57,
10,Stemming,"Stem (openbaring van iemands mening (voor of tegen)),  uitbrengen bij verkiezingen of bij een vergadering",Class,,{331C4A0B-1505-4945-A0B0-DCD8703AB50F},,,,,Stemming,"Stem (openbaring van iemands mening (voor of tegen)),  uitbrengen bij verkiezingen of bij een vergadering",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-857327b0-3ab3-4578-869d-7b390aa1e3d3,,857327b0-3ab3-4578-869d-7b390aa1e3d3,business-object,17042024-14:45:57,
11,Taakveld,Een samenhangend geheel van activiteiten en taken en hangt onder een programma.,Class,,{01E83CEC-D69D-47eb-9BAB-252AABADDD18},,,,,,,,,,,,,,17042024-14:45:57,
12,Vergadering,Een bijeenkomst van meerdere mensen (meestal van eenzelfde organisatie) die met elkaar spreken en/of afspraken maken over de gemeenschappelijke toekomst.,Class,,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},,,,,Vergadering,Een bijeenkomst van meerdere mensen (meestal van eenzelfde organisatie) die met elkaar spreken en/of afspraken maken over de gemeenschappelijke toekomst.,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ea768404-3043-48bc-b0dc-143abc8806d6,,ea768404-3043-48bc-b0dc-143abc8806d6,business-object,17042024-14:45:57,
13,Deelnemersrol,,Enumeration,,{E2EDC770-08EB-4298-A2BA-F7943ACD695F},,,,,,,,,,,,,,17042024-14:45:57,
14,Stemmingsresultaattype,,Enumeration,,{0A3A2E20-2A67-4e16-B11E-36C09F94331D},,,,,,,,,,,,,,17042024-14:45:57,
15,Stemmingstype,,Enumeration,,{368EB061-7CF3-4115-BB21-3C618782F205},,,,,,,,,,,,,,17042024-14:45:57,
16,Activiteit,"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd. ",Class,,{9547BC67-7488-4d9a-B651-2B69A62D789F},,,,,,,,,,,,,,17042024-14:45:57,
17,AOMStatus,,Class,,{FDEB42B6-5D93-46bf-9B5C-10F42BA4AC26},,,,,,,,,,,,,,17042024-14:45:57,
18,Bevinding,,Class,,{ED0D0224-0A30-435b-AB25-87FDA8DF4078},,,,,,,,,,,,,,17042024-14:45:57,
19,BOA,Een buitengewoon opsporingsambtenaar (boa) is een ambtenaar met een specifieke opsporingsbevoegdheid.,Class,,{90B2A249-8D88-4a14-979F-672223D98E8C},,,,,BOA,Een buitengewoon opsporingsambtenaar (boa) is een ambtenaar met een specifieke opsporingsbevoegdheid.,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-7aae6aa2-cf47-491b-a0c0-a311729edcbf,,7aae6aa2-cf47-491b-a0c0-a311729edcbf,business-object,17042024-14:45:57,
20,Combibon,Arjen deze  is voor jou,Class,,{43D57BB8-C2E4-4b5a-A41C-C5CEC9D3877D},,,,,,,,,,,,,,17042024-14:45:57,
21,Fietsregistratie,Adminstreren van fietsen,Class,,{FF9A4A36-6674-4590-BC33-7B6DC5256490},,,,,,,,,,,,,,17042024-14:45:57,
22,Grondslag,,Class,,{94E2B19A-6942-4164-8A52-3C0BBDE45808},,,,,,,,,,,,,,17042024-14:45:57,
23,Heffinggrondslag,"De maatstaf waarop een belasting is gebaseerd, het bedrag op basis waarvan een bepaalde belasting wordt geheven of de premie voor sociale zekerheid wordt vastgesteld.",Class,,{3D2D5426-653C-485c-A99C-8AD933E76D78},,,,,Heffinggrondslag,"De maatstaf waarop een belasting is gebaseerd, het bedrag op basis waarvan een bepaalde belasting wordt geheven of de premie voor sociale zekerheid wordt vastgesteld.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-654000c4-9d8b-4453-b3e8-4f77fb1b15a2,,654000c4-9d8b-4453-b3e8-4f77fb1b15a2,business-object,17042024-14:45:57,
24,Heffingsverordening,,Class,,{C29CCD49-04E2-44b4-A6B0-AD8B10552628},,,,,Heffingsverordening,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-f94b299a-c9eb-4bdb-82e7-5752360494cd,,f94b299a-c9eb-4bdb-82e7-5752360494cd,business-object,17042024-14:45:57,
25,Indiener,Persoon die meldiing of aanvraag doet,Class,,{E9AD325A-49CF-48a6-AA9E-7FB57E03E414},,,,,Indiener,Persoon die meldiing of aanvraag doet,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-d4b0a5ba-7c38-44eb-8856-e3cb971dca37,Indiener (Veiligheid en Vergunningen),d4b0a5ba-7c38-44eb-8856-e3cb971dca37,business-object,17042024-14:45:57,
26,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",Class,,{F73901FC-A78E-486f-B6C6-74CFCBE26CAB},,,,,Inspectie,"het inwinnen, verwerken en interpreteren van informatie met het doel om de momentane toestand van de boezemkade vast te stellen.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-8922cc29-6d1c-4a9c-abd6-6a53dda41cdf,,8922cc29-6d1c-4a9c-abd6-6a53dda41cdf,business-object,17042024-14:45:57,
27,Kosten,,Class,,{0E4A8F94-ED08-43dc-9F78-C9DD17D34690},,,,,Kosten,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-b3ca70ae-c2de-4728-ac7d-a144a95c858e,,b3ca70ae-c2de-4728-ac7d-a144a95c858e,business-object,17042024-14:45:57,
28,LegesGrondslag,,Class,,{7F9392E5-6E43-4880-AF14-819E32A86204},,,,,Leges_Grondslag,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ce320796-17d5-4134-ade8-7b87211272dd,,ce320796-17d5-4134-ade8-7b87211272dd,business-object,17042024-14:45:57,
29,Ligplaatsontheffing,Tijdelijke toestemming voor het innemen van een ligplaats op een locatie in een gebied met een verbod op ligplaatsen.,Class,,{872A0342-EA75-418e-9455-E51875BFD771},,,,,Ligplaatsontheffing,Tijdelijke toestemming voor het innemen van een ligplaats op een locatie in een gebied met een verbod op ligplaatsen.,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-8bdfd1d2-6e07-40d4-9696-881968048f6f,,8bdfd1d2-6e07-40d4-9696-881968048f6f,business-object,17042024-14:45:57,
30,MORAanvraagOfMelding,,Class,,{80F23226-8DD8-4926-B8F1-F2A3C01A29BF},,,,,MORAanvraagOfMelding,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-51d717fc-7e1e-466e-92eb-58c3d8b225d7,,51d717fc-7e1e-466e-92eb-58c3d8b225d7,business-object,17042024-14:45:57,
31,OpenbareActiviteit,Activiteit in het publieke domein,Class,,{B2B423C3-B9C9-4b4f-A47D-85D29417B9B4},,,,,OpenbareActiviteit,Activiteit in het publieke domein,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-9ffbd7f6-a815-4edd-9252-5ed7e873c6a0,,9ffbd7f6-a815-4edd-9252-5ed7e873c6a0,business-object,17042024-14:45:57,
32,Precario,"Belasting die specifiek wordt geheven voor het plaatsen van voorwerpen onder, op of boven voor de openbare dienst bestemde gemeentegrond. ",Class,,{13BB343D-A595-43c9-8208-9BC5B05B618C},,,,,Precario,"Belasting die specifiek wordt geheven voor het plaatsen van voorwerpen onder, op of boven voor de openbare dienst bestemde gemeentegrond.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-01e036d1-b350-4782-b31b-7ac54ea39339,,01e036d1-b350-4782-b31b-7ac54ea39339,business-object,17042024-14:45:57,
33,Producttype,,Class,,{03B4B3C0-3616-4ea2-A8B1-3D6754325F02},,,,,,,,,,,,,,17042024-14:45:57,
34,SubProducttype,,Class,,{0DB447E3-B31B-4f07-8E35-7E77D0AAEF80},,,,,,,,,,,,,,17042024-14:45:57,
35,Vaartuig,"Een zee- of binnenvaartuig, tot de vaart gebruikt of bestemd, daaronder begrepen drijvende werktuigen, zoals baggerwerktuigen, kranen, bokken, elevators, alsmede woonschepen, glijboten en ponten.",Class,,{D12123D3-D62D-4978-B7D4-8405F00A0D6A},,,,,Vaartuig,"Een zee- of binnenvaartuig, tot de vaart gebruikt of bestemd, daaronder begrepen drijvende werktuigen, zoals baggerwerktuigen, kranen, bokken, elevators, alsmede woonschepen, glijboten en ponten.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-3d86eebe-43ff-498e-9f8c-7c77a35f8730,,3d86eebe-43ff-498e-9f8c-7c77a35f8730,business-object,17042024-14:45:57,
36,VomAanvraagOfMelding,"VOM staat voor Vergunning, Ontheffing of Melding. Het betreft hier een melding of een aanvraag voor een vergunning of een ontheffing.",Class,,{44B26957-BAA4-41c2-ABBF-CC1AC91D30D6},,,,,VOMAanvraagOfMelding,"VOM staat voor Vergunning, Ontheffing of Melding. Het betreft hier een melding of een aanvraag voor een vergunning of een ontheffing.",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-f10ba880-2051-4fd8-8495-f34f1a617dc0,,f10ba880-2051-4fd8-8495-f34f1a617dc0,business-object,17042024-14:45:57,
37,Vordering,,Class,,{341942C1-0F72-4e13-ADD1-235805BB81C0},,,,,,,,,,,,,,17042024-14:45:57,
38,Vorderingregel,,Class,,{E2B83F97-FDFD-4876-9E66-23D79D4A4C03},,,,,Vorderingregel,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-0ca1b8c3-e144-45c1-b3e8-4a97f7653fd1,,0ca1b8c3-e144-45c1-b3e8-4a97f7653fd1,business-object,17042024-14:45:57,
39,VTHMelding,"Melding met betrekking tot Vergunningen, Toezicht en Handhaving",Class,,{E9AEF0A9-11BC-4d2a-BC48-FB77F04EF9A6},,,,,VTH-Melding,"Melding met betrekking tot Vergunningen, Toezicht en Handhaving",,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-44f31c7d-6347-4e52-a809-c48563f4b7f1,,44f31c7d-6347-4e52-a809-c48563f4b7f1,business-object,17042024-14:45:57,
40,VTHAanvraagOfMelding,"VTH staat voor Vergunning, Toezicht en Handhaving. Het betreft hier een melding of een aanvraag voor een vergunning of een melding voor Toezicht en/of Handhaving.",Class,,{EAC249B9-13F7-472b-A971-05ED32006F04},,,,,,,,,,,,,,17042024-14:45:57,
41,VTHZaak,,Class,,{88AF7A2E-C508-464a-AD22-DD9B156D570D},,,,,VTHzaak,,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-0080f5e8-d0d2-4a34-816d-24c8ec6b185a,,0080f5e8-d0d2-4a34-816d-24c8ec6b185a,business-object,17042024-14:45:57,
42,Waarneming,Handhavende taak in het kader van VTH,Class,,{DDC990BC-C026-4c98-BEE5-6692EA0C2515},,,,,,,,,,,,,,17042024-14:45:57,
43,WABOAanvraagOfMelding,Aanvraag of medling in het kader van de Wet algemene bepalingen omgevingsrecht (WABO),Class,,{192EA281-414F-4d8d-85D1-5C1B75224942},,,,,,,,,,,,,,17042024-14:45:57,
44,WoonfraudeAanvraagOfMelding,Melding of aanvraag van woonfraude,Class,,{5CE9E5F3-BA9A-47e4-A4C1-DE21E66E9F8E},,,,,WoonfraudeAanvraagOfMelding,Melding of aanvraag van woonfraude,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-2856ae2a-1424-41ad-ab9c-0e166972fb2f,,2856ae2a-1424-41ad-ab9c-0e166972fb2f,business-object,17042024-14:45:57,
45,WoonoverlastAanvraagOfMelding,Melding of aanvraag met betrekking tot Woonoverlast,Class,,{CB5BCFAA-01F3-468d-A5CE-4E08D3E4FFC2},,,,,WoonoverlastAanvraagOfMelding,Melding of aanvraag met betrekking tot Woonoverlast,,,,https://gemmaonline.nl/index.php/GEMMA2/0.9/id-ee5a2678-e98b-44af-ae3f-f0c620a66681,,ee5a2678-e98b-44af-ae3f-f0c620a66681,business-object,17042024-14:45:57,
