nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-guid,GEMMA-type,datum-tijd-export,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-url,GEMMA-alternate-name,GGM-toelichting
0,Aanvraagdata,"Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM",Class,,{1F68C981-7E16-4368-8867-CA00AEB08A04},,Dienstverlening,,,id-1f68c981-7e16-4368-8867-ca00aeb08a04,Business object,21022024-11:03:02,,,,,,,,
1,AanvraagOfMelding,"Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID",Class,,{8E6BAEF8-1878-400f-9244-23575BD41EAB},,Dienstverlening,,,id-8e6baef8-1878-400f-9244-23575bd41eab,Data object,21022024-11:03:02,,,,,,,,
2,Afspraakstatus,,Class,,{5AA9821A-A88A-480b-9950-70FE017593B3},,Dienstverlening,,,id-5aa9821a-a88a-480b-9950-70fe017593b3,Business object,21022024-11:03:02,,,,,,,,
3,Artikel,"Tekst die is gemaakt om gepubliceerd te worden als een onafhankelijk deel van een tijdschrift, krant, encyclopedie of ander werk",Class,,{F38E71BC-DDA2-4a9c-A438-C486EC4C4646},,Dienstverlening,,,id-f38e71bc-dda2-4a9c-a438-c486ec4c4646,Business object,21022024-11:03:02,,,,,,,,
4,Balieafspraak,"Balieafspraken zijn afspraken voor een klantcontact. Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.",Class,,{631FEEF1-88D3-4d18-ADB2-BF999068493E},,Dienstverlening,,,id-631feef1-88d3-4d18-adb2-bf999068493e,Business object,21022024-11:03:02,,,,,,,,"Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden."
5,Externe Bron,Bron buiten de eigen organisatie,Class,,{841FC453-80B3-4389-A91F-9498FDC629CF},,Dienstverlening,,,id-841fc453-80b3-4389-a91f-9498fdc629cf,Data object,21022024-11:03:02,,,,,,,,
6,Formuliersoort,"Bron: GEM_FORM
ID: FORM_ID",Class,,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,Dienstverlening,,,id-0567826d-81ee-4bbd-8d62-3073b74cdf11,Data object,21022024-11:03:02,,,,,,,,
7,Formuliersoortveld,"Bron: GEM_VELD
ID: FORM_ID en VELD_NAAM",Class,,{E512AEFD-85FB-4b57-82FE-709221307861},,Dienstverlening,,,id-e512aefd-85fb-4b57-82fe-709221307861,Data object,21022024-11:03:02,,,,,,,,
8,MORAanvraagOfMelding,,Class,,{A9B89FF7-BCED-49fc-97A4-2A98BCED5B17},,Dienstverlening,,,id-a9b89ff7-bced-49fc-97a4-2a98bced5b17,Data object,21022024-11:03:02,,,,,,,,
9,Onderwerp,"Bron: GEM_VJV_ONDERWERP
ID: ONDERWERP_ID",Class,,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},,Dienstverlening,,,id-8d758f67-6085-4ac7-bfdc-8d97ab632a93,Business object,21022024-11:03:02,,,,,,,,
10,ProductOfDienst,Bron: QP_CALENDAR.CFM_SERVICES,Class,,{4B871112-CB41-4bfb-BD43-117C63D31BB4},,Dienstverlening,,,id-4b871112-cb41-4bfb-bd43-117c63d31bb4,Business object,21022024-11:03:02,,,,,,,,
11,Telefoononderwerp,,Class,,{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D},,Dienstverlening,,,id-48fe13a9-2204-4631-baee-e2d3b10e9a2d,Business object,21022024-11:03:02,,,,,,,,
12,Telefoonstatus,"<ul>
 <li>ABANDONEDALERTING: “Opgehangen tijdens overgaan telefoon”</li>
 <li>DROPPEDCANCELED: “Opgehangen door systeem”</li>
 <li>ABANDONEDQUEUED: “Opgehangen tijdens wachten, zonder boodschap. ”</li>
 <li>CONNECTEDDIRECT: “Direct verbonden”</li>
 <li>CONNECTEDQUEUEDANNOUNCE: “Verbonden na wachtrij met boodschap”</li>
 <li>AbandonedQUEUEDANNOUNCE: “Opgehangen in wachtrij met boodschap”</li>
 <li>DroppedBusy: “Opgehangen door systeem, te druk”</li>
 <li>REJECTED: “Geweigerd door systeem”</li>
 <li>Droppedoverload: “Opgehangen door systeem vanwege overbelasting”</li>
</ul>",Class,,{D8A82A45-03C3-44d5-AF32-3138A55B2E75},,Dienstverlening,,,id-d8a82a45-03c3-44d5-af32-3138a55b2e75,Data object,21022024-11:03:02,,,,,,,,
13,Telefoontje,"De telefoontjes zijn alle keren dat iemand naar de gemeente belt en het telefoonsysteem neemt deze telefoontjes aan. Ongeacht of iemand daarna ophangt, door het systeem uit de wachtrij wordt gezet, doorverbonden wordt met een derde partij of er werkelijk wordt opgenomen.     ",Class,,{EEB60E10-C244-4176-AB68-F0E30759269F},,Dienstverlening,,,id-eeb60e10-c244-4176-ab68-f0e30759269f,Business object,21022024-11:03:02,,,,,,,,
14,Aanbesteding Vastgoed,Een procedure waarbij een opdrachtgever bekendmaakt dat hij een opdracht of concessie wil laten uitvoeren en bedrijven uitnodigt om een offerte in te dienen. Dit in het kader van werkzaamheden rondom vastgoed.,Class,,{17FCEF39-AB9D-4516-9C60-1DDA61D87356},,Vastgoed,,,id-17fcef39-ab9d-4516-9c60-1dda61d87356,Data object,21022024-11:03:02,,,,,,,,
15,Adresaanduiding,De adresaanduiding van het WOZ-OBJECT,Class,,{909E635B-E33D-4ded-8471-900CD175B7D1},,Vastgoed,,,id-909e635b-e33d-4ded-8471-900cd175b7d1,Data object,21022024-11:03:02,,,,,,,,
16,Bouwdeel,"Zelfstandig en aanwijsbaar deel van een element, onderscheiden naar samenstelling of constructiewijze, bestaande uit √©√©n of meer componenten waaraan technische eigenschappen en een onderhoudshistorie kunnen worden gerelateerd (bron: Conditiemeting gebouwde omgeving - Deel 1: Methodiek, code: 3.3)",Class,,{9A739672-6084-4c05-A13E-59DB13551E58},,Vastgoed,,,id-9a739672-6084-4c05-a13e-59db13551e58,Data object,21022024-11:03:02,,,,,,,,
