,naam,definitie,archimate-type,uml-type,gemma-guid,ggm-guid,bron,toelichting,toelichting,synoniemen,domein-iv3,domein-dcat,domein-gemma,datum-tijd-export
0,Aanvraagdata,"Bron: GEN_REQ_DATA
ID: REQ_DATA icm VELD_NAAM",Business object,Class,id-1f68c981-7e16-4368-8867-ca00aeb08a04,{1F68C981-7E16-4368-8867-CA00AEB08A04},,,,,,,,25102023-07:53:00
1,AanvraagOfMelding,"Komt overeen met een VJV

Bron: GEM_VJV (Distinct op REQ_ID)
ID: REQ_ID",Data object,Class,id-8e6baef8-1878-400f-9244-23575bd41eab,{8E6BAEF8-1878-400f-9244-23575BD41EAB},,,,,,,,25102023-07:53:00
2,Afspraakstatus,,Business object,Class,id-5aa9821a-a88a-480b-9950-70fe017593b3,{5AA9821A-A88A-480b-9950-70FE017593B3},,,,,,,,25102023-07:53:00
3,Artikel,"Tekst die is gemaakt om gepubliceerd te worden als een onafhankelijk deel van een tijdschrift, krant, encyclopedie of ander werk",Business object,Class,id-f38e71bc-dda2-4a9c-a438-c486ec4c4646,{F38E71BC-DDA2-4a9c-A438-C486EC4C4646},,,,,,,,25102023-07:53:00
4,Balieafspraak,"Balieafspraken zijn afspraken voor een klantcontact. Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.",Business object,Class,id-631feef1-88d3-4d18-adb2-bf999068493e,{631FEEF1-88D3-4d18-ADB2-BF999068493E},,,"Dit ongeacht of deze werkelijk heeft plaatsgevonden of gaat plaatsvinden, soms liggen deze in de toekomst of is iemand niet op komen dagen, of iets anders waardoor het klantcontact nog niet heeft plaatsgevonden.",,,,,25102023-07:53:00
5,Externe Bron,Bron buiten de eigen organisatie,Data object,Class,id-841fc453-80b3-4389-a91f-9498fdc629cf,{841FC453-80B3-4389-A91F-9498FDC629CF},,,,,,,,25102023-07:53:00
6,Formuliersoort,"Bron: GEM_FORM
ID: FORM_ID",Data object,Class,id-0567826d-81ee-4bbd-8d62-3073b74cdf11,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,,,,,,,25102023-07:53:00
7,Formuliersoortveld,"Bron: GEM_VELD
ID: FORM_ID en VELD_NAAM",Data object,Class,id-e512aefd-85fb-4b57-82fe-709221307861,{E512AEFD-85FB-4b57-82FE-709221307861},,,,,,,,25102023-07:53:00
8,MORAanvraagOfMelding,,Data object,Class,id-a9b89ff7-bced-49fc-97a4-2a98bced5b17,{A9B89FF7-BCED-49fc-97A4-2A98BCED5B17},,,,,,,,25102023-07:53:00
9,Onderwerp,"Bron: GEM_VJV_ONDERWERP
ID: ONDERWERP_ID",Business object,Class,id-8d758f67-6085-4ac7-bfdc-8d97ab632a93,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},,,,,,,,25102023-07:53:00
10,ProductOfDienst,Bron: QP_CALENDAR.CFM_SERVICES,Business object,Class,id-4b871112-cb41-4bfb-bd43-117c63d31bb4,{4B871112-CB41-4bfb-BD43-117C63D31BB4},,,,,,,,25102023-07:53:00
11,Telefoononderwerp,,Business object,Class,id-48fe13a9-2204-4631-baee-e2d3b10e9a2d,{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D},,,,,,,,25102023-07:53:00
