nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-toelichting,GGM-target-guid,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-type,GEMMA-guid,GEMMA-source-guid,GEMMA-target-guid,datum-tijd-export,GGM-guid,GGM-source-guid
0,mondt uit in,,Association,nan,{A3DAD553-0E55-4256-824B-CDB5E12CB545},mondt uit in,nan,nan,association-relationship,85f0a234-96e8-48bb-8417-0809a7c7d186,32052c54-e099-47e7-8ded-599537226dfa,a9cb919f-a224-4ab5-9825-40d54104f90d,18022026-151638,,
1,heeft,,Association,,{D8A82A45-03C3-44d5-AF32-3138A55B2E75},,,,,,,,18022026-151638,,
2,heeft,,Association,nan,{EEB60E10-C244-4176-AB68-F0E30759269F},heeft,nan,nan,association-relationship,d9faeb90-03b7-4cad-8ae1-39c540baf079,c604ce01-282e-4d1a-ade9-d1a4c1938f4e,32052c54-e099-47e7-8ded-599537226dfa,18022026-151638,,
3,heeft,,Association,nan,{A3DAD553-0E55-4256-824B-CDB5E12CB545},heeft,nan,nan,association-relationship,b69065f9-a1a7-45d6-a52a-3eb38626a5c2,c604ce01-282e-4d1a-ade9-d1a4c1938f4e,a9cb919f-a224-4ab5-9825-40d54104f90d,18022026-151638,,
4,hoofdonderwerp,,Association,nan,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},hoofdonderwerp,nan,nan,association-relationship,54b64aa5-5c9f-42ea-a6a6-7bb8b7fea307,bc793405-f822-4a23-a8dc-74206f1d45df,bc793405-f822-4a23-a8dc-74206f1d45df,18022026-151638,,
5,heeft,,Association,,{881F95F7-7096-49ab-B1CA-4D9FA93BB4A9},,,,,,,,18022026-151638,,
6,heeft,,Association,,{40394EFE-AD3E-4fd9-B9FC-AF73442AF625},,,,,,,,18022026-151638,,
7,heeft velden,,Association,,{E512AEFD-85FB-4b57-82FE-709221307861},,,,,,,,18022026-151638,,
8,is aanleiding voor,,Association,,{7210A379-17EE-4143-A106-ECD9414B2A0D},,,,,,,,18022026-151638,,
9,locatie,,Association,nan,{D8142B98-64CB-408e-9941-92423543F08A},locatie,nan,nan,association-relationship,4576bfea-bc77-4944-9b3b-e4431f709bbc,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,bb257165-3229-4e5f-a24c-524966c748f5,18022026-151638,,
