nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-toelichting,GGM-guid,GGM-source-guid,GGM-target-guid,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-type,GEMMA-guid,GEMMA-source-guid,GEMMA-target-guid,datum-tijd-export
0,naam4,,Association,,{476E7F9D-D7F2-4279-B35B-981DCDA389E0},{EF4E7B58-F178-4a4f-85C5-A5CD93747A36},{97EE5348-F06A-44cb-A792-7371CF5D2E53},,,,,,,,22112024-115323
1,naam3,,Association,,{EB1ECE1C-9867-46d8-B423-50862C0A344A},{EF4E7B58-F178-4a4f-85C5-A5CD93747A36},{23D170D0-917E-4873-A622-43214405AB3D},,,,,,,,22112024-115323
2,naam2 (werkwoord),,Association,,{18883E50-FEE4-4c26-A82E-28BB87F53C62},{DE4D6CAB-7798-46cd-AE1B-328684681323},{0799B0D1-5067-43e2-8A6F-48FB972225E5},,,,,,,,22112024-115323
3,naam1 (werkwoord),,Association,,{3F495D53-B1CF-4dda-A6CA-903B2ECC735F},{AE553F3F-B8B6-4bd2-A6A1-8051145C823B},{0799B0D1-5067-43e2-8A6F-48FB972225E5},,,,,,,,22112024-115323
4,is specialisatie van,,Generalization,,{CA4EDB07-778F-42c4-85ED-A5FE4AF8B21F},{AE553F3F-B8B6-4bd2-A6A1-8051145C823B},{889A7DC6-B389-4e02-BB53-CC0B2B5B0D91},,,,,,,,22112024-115323
5,is belast met,Verwijzing naar het ZAKELIJK RECHT waarmee het onderhavige ZAKELIJK RECHT is belast.,Association,,{BA508E5B-A499-4ff8-91A5-37368D6C0481},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{8C809341-AC60-4378-8BA0-0843E8C06AF3},is belast met,Verwijzing naar het ZAKELIJK RECHT waarmee het onderhavige ZAKELIJK RECHT is belast.,<memo>,association-relationship,5f3d1ae7-22ec-491f-80f4-041d895cbadd,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,22112024-115323
6,heeft betrekking op,Een verwijzing naar het recht dat door een persoon wordt uitgeoefend op een kadastrale onroerende zaak.,Association,,{37F7170A-15AE-4bf3-9042-193E6084A3E8},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},{8C809341-AC60-4378-8BA0-0843E8C06AF3},heeft betrekking op,Een verwijzing naar het recht dat door een persoon wordt uitgeoefend op een kadastrale onroerende zaak.,<memo>,association-relationship,9f95c45c-5e5a-4e80-8f5d-37b204a91e40,429cbd2f-a86d-49d9-9c8a-0de67a7e7d3e,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,22112024-115323
7,,,Generalization,nan,{6B2C12F4-9570-41fc-A6D5-620F57C33612},{8D52E9F1-9CC9-42c6-A347-E68E29718E55},{8C809341-AC60-4378-8BA0-0843E8C06AF3},nan,nan,nan,specialization-relationship,6876cb17-431e-4eec-9788-ad359774b553,a6741440-a70f-4d05-b164-6a21b867b4d3,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,22112024-115323
8,is ontstaan uit,,Association,,{B236458D-84DF-4f68-A42A-50E754D9CBA3},{DCF0623A-694F-4b82-B615-F499F169C19A},{8C809341-AC60-4378-8BA0-0843E8C06AF3},,,,,,,,22112024-115323
9,is betrokken bij,,Association,,{F6CE3998-EF89-46c2-A99E-7D8F594782D5},{D46DA88A-F3EB-4c72-85DA-C0C4239289E2},{8C809341-AC60-4378-8BA0-0843E8C06AF3},,,,,,,,22112024-115323
10,heeft betrekking op,,Association,nan,{1A349697-B524-49b7-B513-DEC2BA5ACE19},{5DC6EA71-272C-4392-BA5E-5C97DC3CA9D9},{8C809341-AC60-4378-8BA0-0843E8C06AF3},heeft betrekking op,nan,nan,association-relationship,bb522ffd-6442-4514-83b1-bd03cb5d638d,4c80e4c9-5e35-43d8-8438-2860c18949f0,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,22112024-115323
11,is beperkt tot,Verwijzing naar de TENAAMSTELLING waarop  het  ZAKELIJK RECHT beperking  heeft.,Association,,{F9F7F2FF-30E9-49b4-B5B6-9B4FB86E8500},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},is beperkt tot,Verwijzing naar de TENAAMSTELLING waarop  het  ZAKELIJK RECHT beperking  heeft.,<memo>,association-relationship,e47573a3-744f-4bcf-96da-33a0ba01811a,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,429cbd2f-a86d-49d9-9c8a-0de67a7e7d3e,22112024-115323
12,bezwaart,De TENAAMSTELLING waarop een ZEKERHEIDSRECHT rust.,Association,,{318C7F68-3C41-4539-981A-F0204B8BBE28},{3397A5B5-E789-46e6-8559-C528EA55F830},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},bezwaart,De TENAAMSTELLING waarop een ZEKERHEIDSRECHT rust.,<memo>,association-relationship,0676e672-3fe8-4f8f-b5dc-50528fc50328,0f33d06b-3e1f-4693-87af-2a5a9b739219,429cbd2f-a86d-49d9-9c8a-0de67a7e7d3e,22112024-115323
13,heeft,,Association,,{A1F4ED3F-AB5A-47b2-A1E8-F24FB4DCF6FC},{9DF5AC43-3673-4b9a-BB5E-6DCA7BE28835},{2651D6E0-6AC8-43a8-A4F6-4706209BAC8E},heeft,,,association-relationship,1d5985e9-53ff-4a69-b0ca-728185f03bb8,cad45b80-14d3-4a0c-a906-0c1614dc9570,429cbd2f-a86d-49d9-9c8a-0de67a7e7d3e,22112024-115323
14,rust op,Een verwijzing naar de KADASTRALE ONROERENDE ZAAK waarop het ZAKELIJK RECHT betrekking heeft.,Association,,{2BE9BA3F-23CF-4095-84AC-068C9CE16747},{8C809341-AC60-4378-8BA0-0843E8C06AF3},{9775E778-DBF8-4122-94CE-551466B62F46},rust op,Een verwijzing naar de KADASTRALE ONROERENDE ZAAK waarop het ZAKELIJK RECHT betrekking heeft.,<memo>,association-relationship,7d6791b0-0375-42dd-83db-8ef2dc64528b,671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f,8155eb9b-eb9e-4eec-a850-80c185983a9f,22112024-115323
15,rust op,De KADASTRAAL ONROERENDE ZAAK waarop een ZEKERHEIDSRECHT rust. ,Association,,{3D506CBC-2417-4aee-83A2-EC872CC303C7},{3397A5B5-E789-46e6-8559-C528EA55F830},{9775E778-DBF8-4122-94CE-551466B62F46},rust op,De KADASTRAAL ONROERENDE ZAAK waarop een ZEKERHEIDSRECHT rust.,<memo>,association-relationship,ca15db0e-f6f9-4159-b56b-0eaa11754c2c,0f33d06b-3e1f-4693-87af-2a5a9b739219,8155eb9b-eb9e-4eec-a850-80c185983a9f,22112024-115323
16,bevat,De unieke aanduidingen van de KADASTRALE ONROERENDE ZAAKen opgenomen in de Basis Registratie Kadaster die geheel of gedeeltelijk deel uitmaken van het WOZ-OBJECT.,Association,,{F439C704-DBE5-4b8e-9E90-EC979F1F360D},{CB7BA76D-0793-4d5a-9596-533C5BC56BBF},{9775E778-DBF8-4122-94CE-551466B62F46},,,,,,,,22112024-115323
17,bevat,,Association,<memo>,{F09EA109-1CBA-4983-B8E2-B79F67B44669},{CB7BA76D-0793-4d5a-9596-533C5BC56BBF},{9775E778-DBF8-4122-94CE-551466B62F46},bevat,De unieke aanduidingen van de KADASTRALE ONROERENDE ZAAKen opgenomen in de Basis Registratie Kadaster die geheel of gedeeltelijk deel uitmaken van het WOZ-OBJECT.,<memo>,association-relationship,744cf797-df0d-41a5-8ca6-4871968c0bd1,3f1aeea3-a5a8-4df6-af1e-51d5ef4ad32f,8155eb9b-eb9e-4eec-a850-80c185983a9f,22112024-115323
18,heeft betrekking op,De KADASTRALE ONROERENDE ZAAK waarbij de AANTEKENING geplaatst is.,Association,,{93CC56E0-B35A-4317-85E1-E1B28052DE8D},{0BC18F79-3560-4e43-8154-7CCDC7D67A03},{9775E778-DBF8-4122-94CE-551466B62F46},heeft betrekking op,De KADASTRALE ONROERENDE ZAAK waarbij de AANTEKENING geplaatst is.,<memo>,association-relationship,941ee598-d7eb-4634-8d2d-85c8636bd7a5,6c7ed209-0c32-432f-b6cd-32a0a1505a4e,8155eb9b-eb9e-4eec-a850-80c185983a9f,22112024-115323
19,gerelateerd,,Association,nan,{7912F892-8D2F-464d-BE9D-E90D1CEEA7DE},{9775E778-DBF8-4122-94CE-551466B62F46},{9775E778-DBF8-4122-94CE-551466B62F46},gerelateerd,nan,nan,association-relationship,f5946143-7fe9-4b76-96d0-0fd4ee27945e,8155eb9b-eb9e-4eec-a850-80c185983a9f,8155eb9b-eb9e-4eec-a850-80c185983a9f,22112024-115323
