,naam,definitie,uml-type,ggm-guid,ggm-source-guid,ggm-target-guid,toelichting,archimate-type,gemma-guid,gemma-source-guid,gemma-target-guid,datum-tijd-export
0,bevat,,Association,{4737BCD4-DF6F-4227-AB79-599CE2007080},{3120D398-95C1-42fe-B10F-4F3B6BF15D1A},{1528D03C-4F22-4d6b-A44F-605802C195C4},,,,,,25102023-07:53:00
1,heeft,,Association,{CC057874-5639-42db-9AE1-18C649146197},{10C06EB3-F94A-4005-9C66-0DAE61B96192},{1528D03C-4F22-4d6b-A44F-605802C195C4},,,,,,25102023-07:53:00
2,heeft,,Association,{DD86ACFC-507A-42ff-84CD-2ADA84514289},{10C06EB3-F94A-4005-9C66-0DAE61B96192},{3120D398-95C1-42fe-B10F-4F3B6BF15D1A},,,,,,25102023-07:53:00
3,komt voort uit,,Association,{24376BB8-FAE1-4a4b-AED2-61E7F212C79A},{10C06EB3-F94A-4005-9C66-0DAE61B96192},{DDFF98D8-99FF-47b5-82D1-7FF2376750D6},,,,,,25102023-07:53:00
4,,,Generalization,{34FCD611-8785-4de3-995B-253643231D39},{2FC6C6EB-DF35-49e6-9694-1B8BD53537B0},{DDFF98D8-99FF-47b5-82D1-7FF2376750D6},,,,,,25102023-07:53:00
5,,,Generalization,{E5871441-C7F2-431e-ABD9-3ABB20998E0B},{3D9D2E7B-525E-43d9-B08F-EDE47F8A0C94},{DDFF98D8-99FF-47b5-82D1-7FF2376750D6},,,,,,25102023-07:53:00
6,,,Generalization,{51D0E188-C95B-43fe-B1EC-031D8BD13FA7},{A6C71E4C-CB46-41ae-8A61-C8080BB92A55},{DDFF98D8-99FF-47b5-82D1-7FF2376750D6},,,,,,25102023-07:53:00
7,betreft,,Association,{637A11D0-691A-4e67-8990-A924D984BD5C},{10C06EB3-F94A-4005-9C66-0DAE61B96192},{8BE600D0-EBF4-475b-8801-F387A5D39009},,,,,,25102023-07:53:00
8,beschrijft activiteit,,Association,{7ED27452-E047-40e4-91F4-C35FF382C609},{3D9D2E7B-525E-43d9-B08F-EDE47F8A0C94},{8BE600D0-EBF4-475b-8801-F387A5D39009},,,,,,25102023-07:53:00
9,geldt voor,,Association,{AD68C58D-5F48-46ef-A232-5E5F1FEAE956},{DDFF98D8-99FF-47b5-82D1-7FF2376750D6},{8BE600D0-EBF4-475b-8801-F387A5D39009},,,,,,25102023-07:53:00
10,bovenliggende activiteit,,Association,{4328D0AB-64ED-46a3-8820-42C6634E70EA},{8BE600D0-EBF4-475b-8801-F387A5D39009},{8BE600D0-EBF4-475b-8801-F387A5D39009},,,,,,25102023-07:53:00
11,gerelateerde activiteit,,Association,{1E3E1DDF-D648-4c8d-9142-623182ED7701},{8BE600D0-EBF4-475b-8801-F387A5D39009},{8BE600D0-EBF4-475b-8801-F387A5D39009},,,,,,25102023-07:53:00
12,betreft,,Association,{0064520F-0125-42ea-8D01-13183E102F6C},{B18119D9-5BF8-498f-B9D3-ECCE7A770012},{8BE600D0-EBF4-475b-8801-F387A5D39009},,,,,,25102023-07:53:00
13,betreft,,Association,{6DFEF1A2-B0BA-490d-AEC6-A4C777385616},{10C06EB3-F94A-4005-9C66-0DAE61B96192},{79284529-B817-4e3f-BE51-AEAFC60BDE44},,,,,,25102023-07:53:00
14,werkingsgebied,,Association,{A05AFA08-D35E-4e53-A353-272267025927},{DDFF98D8-99FF-47b5-82D1-7FF2376750D6},{79284529-B817-4e3f-BE51-AEAFC60BDE44},,,,,,25102023-07:53:00
15,is verbonden met,,Association,{552A06F1-91B6-4510-96FC-82C5E0C72951},{8BE600D0-EBF4-475b-8801-F387A5D39009},{79284529-B817-4e3f-BE51-AEAFC60BDE44},,,,,,25102023-07:53:00
