nr,GGM-naam,GGM-definitie,GGM-uml-type,GGM-synoniemen,GGM-guid,GGM-bron,domein-iv3,domein-dcat,domein-gemma,GEMMA-naam,GEMMA-definitie,GEMMA-toelichting,GEMMA-synoniemen,GEMMA-bron,GEMMA-URL,GEMMA-alternate-name,GEMMA-guid,GEMMA-type,datum-tijd-export,GGM-toelichting
0,Aanwezige Deelnemer,iemand die meedoet aan eencollege- of raadsvergadering,Class,,{F1E55DC7-0F33-40ea-8713-2E1AC3D7EE8D},,Griffie,,,,,,,,,,,,20022026-121457,
1,Agendapunt,Een onderwerp dat in de vergadering wordt behandeld.,Class,,{73FB5212-40ED-40dc-B837-36588840445A},,Griffie,,,,,,,,,,,,20022026-121457,
2,Categorie,Categorie waarop leveranciers zich voor de levering van personeel voor kunnen kwalificeren,Class,,{B9B82B25-5D7F-4d2b-84F9-4DF74525EEAD},,Griffie,,,,,,,,,,,,20022026-121457,
3,Collegelid,Iemand die behoort het college van burgemeester en wethouders,Class,,{7B9EDDFD-57F7-4ff2-938F-FDFA3B503DA8},,Griffie,,,,,,,,,,,,20022026-121457,
4,Dossier,Samenhangende set gegevens en informatie voor een specifiek doel,Class,,{475E24C9-CC9A-49cc-AB80-8CA0221441E5},,Griffie,,,,,,,,,,,,20022026-121457,
5,Indiener,Persoon die meldiing of aanvraag doet,Class,,{98CB3C6F-588B-479f-9A2B-F5D5362DD17C},,Griffie,,,,,,,,,,,,20022026-121457,
6,Programma,"Een tijdelijke, flexibele organisatiestructuur, die is opgezet om de implementatie van een verzameling met elkaar samenhangende projecten en activiteiten te co&#246;rdineren, te sturen en te controleren teneinde te zorgen voor de realisatie van de eindresultaten en benefits die zijn gerelateerd aan de strategische doelstellingen van de organisatie.",Class,,{CA56A59A-F855-4c19-89BE-578B12481EA0},,Griffie,,,,,,,,,,,,20022026-121457,
7,Raadscommissie,Een raadscommissie binnen de Nederlandse gemeenteraad is een groep raadsleden die zich buigt over specifieke thema's of beleidsonderwerpen om de besluitvorming in de volledige raad voor te bereiden en te ondersteunen.,Class,,{CB27D699-F82B-45ad-823A-B2B51BCAECBA},,Griffie,,,,,,,,,,,,20022026-121457,
8,Raadslid,Iemand die behoort de gemeenteraad,Class,,{5772BEBB-97FA-42a9-B70D-DB55EAD6D1EE},,Griffie,,,,,,,,,,,,20022026-121457,
9,Raadsstuk,Stuk dat door de gemeenteraad wordt behandeld,Class,,{440219A4-C64B-4eac-ADE5-E79ED6AA9BFE},,Griffie,,,,,,,,,,,,20022026-121457,
10,Stemming,"Stem (openbaring van iemands mening (voor of tegen)),  uitbrengen bij verkiezingen of bij een vergadering",Class,,{331C4A0B-1505-4945-A0B0-DCD8703AB50F},,Griffie,,,,,,,,,,,,20022026-121457,
11,Taakveld,Een samenhangend geheel van activiteiten en taken en hangt onder een programma.,Class,,{01E83CEC-D69D-47eb-9BAB-252AABADDD18},,Griffie,,,,,,,,,,,,20022026-121457,
12,Vergadering,Een bijeenkomst van meerdere mensen (meestal van eenzelfde organisatie) die met elkaar spreken en/of afspraken maken over de gemeenschappelijke toekomst.,Class,,{257F4ABF-7CCD-453f-B2E8-5A6434383A9B},,Griffie,,,,,,,,,,,,20022026-121457,
13,Activiteit Omgevingswet,"Ieder menselijk handelen waarbij, of ieder menselijk nalaten waardoor een verandering of effect in de (fysieke) leefomgeving wordt of kan worden bewerkstelligd. ",Class,,{9547BC67-7488-4d9a-B651-2B69A62D789F},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
14,AOMStatus,,Class,,{FDEB42B6-5D93-46bf-9B5C-10F42BA4AC26},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
15,Bevinding,Een *bevinding* is de uitkomst van een waarneming of onderzoek die aangeeft wat is geconstateerd bij beoordeling of inspectie.  ,Class,,{ED0D0224-0A30-435b-AB25-87FDA8DF4078},,Veiligheid en Vergunningen,,,,,,,,,,,,20022026-121457,
