authentiek,begrip,GGM-bron,created,datum_opname,definitie,dst_class_id,dst_documentation,dst_mult_end,dst_mult_start,dst_multiplicity,dst_role,heeft_tijdlijn_geldigheid,heeft_tijdlijn_registratie,herkomst,herkomst_definitie,GGM-guid,indicatie_formele_historie,indicatie_in_onderzoek,indicatie_materiele_historie,kwaliteit,modified,mogelijk_geen_waarde,GGM-naam,order,populatie,schema_id,src_class_id,src_documentation,src_mult_end,src_mult_start,src_multiplicity,src_role,stereotype,GGM-synoniemen,GGM-toelichting,GGM-uml-type,Datum-tijd-export
,,,,,,EAID_7B9EDDFD_57F7_4ff2_938F_FDFA3B503DA8,,1,0,,,Nee,Nee,,,EAID_09E484E1_ACD5_4340_B916_371787D426CF,Nee,Nee,Nee,,,Ja,is,,,GGM_ROOT_SCHEMA,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_9F4E12E4_B228_4931_AC83_1B1F60958A89,,1,0,,,Nee,Nee,,,EAID_BE36E0F8_0D39_41ce_BE5D_9723DCE88E81,Nee,Nee,Nee,,,Ja,is,,,GGM_ROOT_SCHEMA,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_440219A4_C64B_4eac_ADE5_E79ED6AA9BFE,,-1,0,,,Nee,Nee,,,EAID_E5CC9977_A6A5_4d53_B7F5_394A7C56235C,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_B9B82B25_5D7F_4d2b_84F9_4DF74525EEAD,,1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_440219A4_C64B_4eac_ADE5_E79ED6AA9BFE,,-1,0,,,Nee,Nee,,,EAID_97901C7A_E07B_49af_828A_2F0E03C8E795,Nee,Nee,Nee,,,Ja,hoort bij,,,GGM_ROOT_SCHEMA,EAID_475E24C9_CC9A_49cc_AB80_8CA0221441E5,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_7B9EDDFD_57F7_4ff2_938F_FDFA3B503DA8,,1,0,,,Nee,Nee,,,EAID_BAB2F0D0_9317_45c8_A353_9989968728B6,Nee,Nee,Nee,,,Ja,is,,,GGM_ROOT_SCHEMA,EAID_98CB3C6F_588B_479f_9A2B_F5D5362DD17C,,1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_5772BEBB_97FA_42a9_B70D_DB55EAD6D1EE,,1,0,,,Nee,Nee,,,EAID_16819B21_09BC_4882_9D17_6BDA1FAE308F,Nee,Nee,Nee,,,Ja,is,,,GGM_ROOT_SCHEMA,EAID_98CB3C6F_588B_479f_9A2B_F5D5362DD17C,,1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_440219A4_C64B_4eac_ADE5_E79ED6AA9BFE,,-1,1,,,Nee,Nee,,,EAID_7E93A04F_3844_49ba_B1AB_F26D73012118,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_98CB3C6F_588B_479f_9A2B_F5D5362DD17C,,-1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835,,1,0,,,Nee,Nee,,,EAID_CE20BFC0_F092_4cef_853B_695F355221B6,Nee,Nee,Nee,,,Ja,is,,,GGM_ROOT_SCHEMA,EAID_98CB3C6F_588B_479f_9A2B_F5D5362DD17C,,1,0,,,,,,Association,12052026-14:54:01
,,,,,,EAID_257F4ABF_7CCD_453f_B2E8_5A6434383A9B,,-1,0,,,Nee,Nee,,,EAID_84B35607_9C4D_47a2_B9E0_5C20A2C477FB,Nee,Nee,Nee,,,Ja,heeft,,,GGM_ROOT_SCHEMA,EAID_CB27D699_F82B_45ad_823A_B2B51BCAECBA,,1,0,,,,,nan,Association,12052026-14:54:01
,,,,,,EAID_F1E55DC7_0F33_40ea_8713_2E1AC3D7EE8D,,1,0,,,Nee,Nee,,,EAID_85F0446A_CB6B_456e_91A6_3CA8C45D2550,Nee,Nee,Nee,,,Ja,is,,,GGM_ROOT_SCHEMA,EAID_5772BEBB_97FA_42a9_B70D_DB55EAD6D1EE,,1,0,,,,,nan,Association,12052026-14:54:01
