nr,GEMMA-naam,GGM-naam,GEMMA-guid,GGM-guid,GEMMA-type,GGM-uml-type,GEMMA-definitie,GGM-definitie,GEMMA-toelichting,GGM-toelichting,GEMMA-source-guid,GGM-source-guid,GEMMA-target-guid,GGM-target-guid,Datum-tijd-export
0,mondt uit in,mondt uit in,85f0a234-96e8-48bb-8417-0809a7c7d186,{B6963309-6A66-4c0f-A90A-C36C517ED4AC},association-relationship,Association,,,,,32052c54-e099-47e7-8ded-599537226dfa,{EEB60E10-C244-4176-AB68-F0E30759269F},a9cb919f-a224-4ab5-9825-40d54104f90d,{A3DAD553-0E55-4256-824B-CDB5E12CB545},18062026-11:55:11
1,,heeft,,{E471ACCA-15CE-4b2e-83BE-301BF0407150},,Association,,,,,,{EEB60E10-C244-4176-AB68-F0E30759269F},,{D8A82A45-03C3-44d5-AF32-3138A55B2E75},18062026-11:55:11
2,heeft,heeft,d9faeb90-03b7-4cad-8ae1-39c540baf079,{E13676F2-69CF-4caa-8667-41E5E65FE315},association-relationship,Association,,,,,c604ce01-282e-4d1a-ade9-d1a4c1938f4e,{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D},32052c54-e099-47e7-8ded-599537226dfa,{EEB60E10-C244-4176-AB68-F0E30759269F},18062026-11:55:11
3,heeft,heeft,b69065f9-a1a7-45d6-a52a-3eb38626a5c2,{29BC6916-A8BA-4b0f-A710-D461C86FE7E0},association-relationship,Association,,,,,c604ce01-282e-4d1a-ade9-d1a4c1938f4e,{48FE13A9-2204-4631-BAEE-E2D3B10E9A2D},a9cb919f-a224-4ab5-9825-40d54104f90d,{A3DAD553-0E55-4256-824B-CDB5E12CB545},18062026-11:55:11
4,hoofdonderwerp,hoofdonderwerp,54b64aa5-5c9f-42ea-a6a6-7bb8b7fea307,{D378AE75-A54F-4dbd-A673-D6DFAF7CAD9F},association-relationship,Association,,,,,bc793405-f822-4a23-a8dc-74206f1d45df,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},bc793405-f822-4a23-a8dc-74206f1d45df,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},18062026-11:55:11
5,,heeft,,{75DA4113-4927-43d1-A910-B2ECE6D51B65},,Association,,,,,,{4B871112-CB41-4bfb-BD43-117C63D31BB4},,{881F95F7-7096-49ab-B1CA-4D9FA93BB4A9},18062026-11:55:11
6,,heeft,,{F56EF6BD-D1C5-48fc-80AC-EF42CD79FCC8},,Association,,,,,,{881F95F7-7096-49ab-B1CA-4D9FA93BB4A9},,{40394EFE-AD3E-4fd9-B9FC-AF73442AF625},18062026-11:55:11
7,,heeft velden,,{FA630ACF-77F6-47a2-93B4-8FB6A9DF9A91},,Association,,,,,,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,{E512AEFD-85FB-4b57-82FE-709221307861},18062026-11:55:11
8,,is aanleiding voor,,{0A5CA34A-9326-497e-ADC3-38787D073F36},,Association,,,,,,{0567826D-81EE-4bbd-8D62-3073B74CDF11},,{7210A379-17EE-4143-A106-ECD9414B2A0D},18062026-11:55:11
9,locatie,locatie,4576bfea-bc77-4944-9b3b-e4431f709bbc,{EB9B83F5-23DD-4cc8-B65A-EED41272722B},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},bb257165-3229-4e5f-a24c-524966c748f5,{D8142B98-64CB-408e-9941-92423543F08A},18062026-11:55:11
10,betreft,betreft,fdfbc123-1267-433a-91b0-30e9f86bfcb9,{DF44DEC9-F13A-4274-AA28-A1A1851B2B01},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},724f019e-158f-4404-8b57-3e1eae109fec,{4B871112-CB41-4bfb-BD43-117C63D31BB4},18062026-11:55:11
11,heeft betrekking op,heeft betrekking op,c9f5eee0-30d3-4a1c-8137-7956f1429e41,{D1F86572-708B-42f8-B095-789694BB8DCB},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},7d5124d4-f23d-432d-ad5a-dc7c1b0fac44,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
12,met,met,bb3c999d-f81f-4b64-8f29-b35a497ecd5a,{8E658E97-A6B3-4c06-9C40-20A059C06BBD},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},6cc6afe6-e4c6-4e2b-a359-f278b23700db,{16EB3936-03CB-4854-9CD8-9F0911EEA51B},18062026-11:55:11
13,mondt uit in,mondt uit in,6fbfcdbc-67e9-41c3-9e39-010647ac56cc,{744D06AC-B194-446e-8B69-DE9DED40C71B},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},a9cb919f-a224-4ab5-9825-40d54104f90d,{A3DAD553-0E55-4256-824B-CDB5E12CB545},18062026-11:55:11
14,heeft,heeft,2db4f725-61b4-4fec-8940-07c387d7438f,{CCA3BF1D-D8A1-4c6d-8FFC-FB82A807A944},association-relationship,Association,,,,,8fd2ff34-a208-4924-bec3-b5ee7e5e7a18,{631FEEF1-88D3-4d18-ADB2-BF999068493E},93731fcf-2b7f-42f2-9f94-6f6f80ce0067,{5AA9821A-A88A-480b-9950-70FE017593B3},18062026-11:55:11
15,melder,melder,166bc98d-c784-450e-877b-bedb8bff4231,{D3F7C054-B676-41e3-B470-1FD8BFAFB232},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},cad45b80-14d3-4a0c-a906-0c1614dc9570,{9DF5AC43-3673-4b9a-BB5E-6DCA7BE28835},18062026-11:55:11
16,heeft documenten,heeft documenten,3c5fa727-2a38-4b36-9401-5522473fdaf0,{BE9DCE55-00F0-4742-BAA8-DB992389C5C6},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},10eaa33f-03bf-42b4-9310-56add2cb5a7b,{5641C50A-C0FA-4e71-B07B-26C7B1CE94ED},18062026-11:55:11
17,,aanvraag met ,,{B6781FDB-E6F4-4ecb-B251-A072A105B0F2},,Association,,,,,,{8E6BAEF8-1878-400f-9244-23575BD41EAB},,{0567826D-81EE-4bbd-8D62-3073B74CDF11},18062026-11:55:11
18,kan leiden tot,kan leiden tot,1c461660-a8c0-49bd-b07a-087f0a71ec18,{87F9EA19-0A1D-4c3f-ADCA-C8F48F216312},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},7d5124d4-f23d-432d-ad5a-dc7c1b0fac44,{649EFD86-ED52-4293-8577-DBE5445845BF},18062026-11:55:11
19,betreft,betreft,4f6a9550-00bb-4570-aa25-7cb7d5aa2c97,{2762907E-CC1E-49e9-B376-C8F36F3A2EA0},association-relationship,Association,,,,,f14fa1cf-f2c7-4bd6-862d-28ff1616a882,{8E6BAEF8-1878-400f-9244-23575BD41EAB},bc793405-f822-4a23-a8dc-74206f1d45df,{8D758F67-6085-4ac7-BFDC-8D97AB632A93},18062026-11:55:11
