nr,GGM-naam,GGM-guid,GGM-definitie,GGM-toelichting,GGM-parent-guid,GGM-uml-type,domein-iv3,Datum-tijd-export
0,"Bestuur, Politiek en Ondersteuning",{47DC5ADA-17D7-49e1-8BC6-F798EE72B111},,,,Package,"Bestuur, Politiek en Ondersteuning",18062026-15:27:47
1,Burgerzaken,{C84D590F-615F-4671-B4C2-7610C80F33F4},,,{47DC5ADA-17D7-49e1-8BC6-F798EE72B111},Package,"Bestuur, Politiek en Ondersteuning",18062026-15:27:47
2,Griffie,{462ADAB3-19AB-405b-9BB5-0951DA70BFA0},,,{47DC5ADA-17D7-49e1-8BC6-F798EE72B111},Package,"Bestuur, Politiek en Ondersteuning",18062026-15:27:47
3,Politiek,{FA375616-AD70-403d-87B1-659E433E7EC2},"Het informatiesubdomein dat gegevens omvat over de politieke organen van de gemeente, hun activiteiten en de ondersteuning daarvan.",,{47DC5ADA-17D7-49e1-8BC6-F798EE72B111},Package,"Bestuur, Politiek en Ondersteuning",18062026-15:27:47
4,Dienstverlening,{5CA50A0D-7FDC-40ea-B3F3-F85E008D3549},,,,Package,Dienstverlening,18062026-15:27:47
5,Economie,{97C39FF1-DCAE-4b67-9249-015E2D795AE8},,,,Package,Economie,18062026-15:27:47
6,Financien,{4F010A09-D9D0-4bcf-A233-8430F8EFE54A},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
7,HR,{1825F01E-BA3C-4e53-B3B3-BD1E69F94A10},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
8,ICT,{A2C234C7-A5F7-4e4a-9EE3-8C37A4469F01},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
9,Inkoop,{E593FB18-D458-4462-B5F2-0B37FA3AA722},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
10,Interne Organisatie,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},,,,Package,Interne Organisatie,18062026-15:27:47
11,Organisatie-indeling,{2883DC11-62ED-42cd-A0D6-855258F32079},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
12,Subsidies,{F079A58E-FB65-422e-BA86-5E810092E5E5},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
13,Vastgoed,{64927CCE-C5AB-447e-BB41-C961BE1EA1BD},,,{BB0CE95E-98B3-48ec-905F-5512A5AB221C},Package,Interne Organisatie,18062026-15:27:47
14,BAG,{FC04420D-2055-4fcf-A2DB-E4C12E2150F1},,,{2EEC0A24-2953-49cb-9CF1-1A19CCE84E97},Package,Kern,18062026-15:27:47
15,Kern,{2EEC0A24-2953-49cb-9CF1-1A19CCE84E97},,,,Package,Kern,18062026-15:27:47
16,RGBZPlus,{DF1A3AF5-E138-4f54-AAB1-1716247A2F1D},,,{2EEC0A24-2953-49cb-9CF1-1A19CCE84E97},Package,Kern,18062026-15:27:47
